Absent,غائب
Accounting,المحاسبة
Accounts Manager,بند واجهة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Accounts User,بند واجهة
Accrual journal entry,بند واجهة
Actions,إجراءات
Active,نشط
Add Department,بند واجهة
Add Employee,بند واجهة
Administrator,المسؤول
Advance Amount,بند واجهة
Advance Date,بند واجهة
Agency,بند واجهة
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
Allocated Days,بند واجهة
Allowances,بند واجهة
ALM,إدارة الأصول والخصوم
Amount,المبلغ
Analytics Dashboard,لوحة التحليلات
Annual Leave,بند واجهة
Applicant Name,بند واجهة
Applications,بند واجهة
Appraiser,بند واجهة
Approval,موافقة
Approval and Justification,بند واجهة
Approval and Reason,موافقة و السبب
Approved,معتمد
Approver,بند واجهة
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Attachments,المرفقات
Attendance,الحضور
Attendance Date,الحضور التاريخ
Attendance Overview,الحضور نظرة عامة
Attendance Source,الحضور المصدر
Attendance Window,بند واجهة
Audit,التدقيق
Aug 12,بند واجهة
Auto Sync Biometric Devices,بند واجهة
Average Attendance,بند واجهة
Average Late,بند واجهة
Balance Days,بند واجهة
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Basic Salary,بند واجهة
Behavioral,بند واجهة
Best Day,بند واجهة
Billing & collections,الفوترة والتحصيل
Biometric,بند واجهة
Biometric / Attendance,بند واجهة / الحضور
Biometric Device,بند واجهة
biometric_user_id,بند واجهة
Bonus,بند واجهة
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Branch is required to post payroll accrual journal.,بند واجهة
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Campus,بند واجهة
Cancel,إلغاء
Cancelled,ملغى
Candidate Name,بند واجهة
Car Rental,تأجير السيارات
Card Break,قسم
Carried Forward Days,بند واجهة
Carry Forward Days,بند واجهة
Casual Leave,بند واجهة
Certificate URL,URL — بند واجهة
Chart,مخطط
Chart of Accounts,دليل الحسابات
Check In,بند واجهة
Check Out,بند واجهة
Closed,مغلق
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Company & branch,الشركة و الفرع
Company is required,الشركة is مطلوب
Company is required.,الشركة is مطلوب.
Company Townhall Meeting,بند واجهة
Competency Score,بند واجهة
Completed,مكتمل
Completed Trainings,بند واجهة
Completion,بند واجهة
Completion Score,بند واجهة
Compliance and Notes,امتثال و ملاحظات
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Component,بند واجهة
Connection,اتصال
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Controls,بند واجهة
Conversion Rate,بند واجهة
Core ERP,ERP الأساسي
Cost,التكلفة
Cost and Artifacts,بند واجهة
Cost Center,مركز التكلفة
Country,الدولة
Create,إنشاء
Create HR Payroll Company Settings for company {0} before submitting a payroll run.,HR — بند واجهة
Create or review your first **Employee** record from this workspace.,أنشئ أو راجع أول سجل **الموظف** من مساحة العمل هذه.
Create or review your first **HR Leave Type** record from this workspace.,أنشئ أو راجع أول سجل **HR — بند واجهة** من مساحة العمل هذه.
Create or review your first **Leave Policy** record from this workspace.,أنشئ أو راجع أول سجل **بند واجهة** من مساحة العمل هذه.
Create or review your first **User Branch Access** record from this workspace.,أنشئ أو راجع أول سجل **مستخدم الفرع الوصول** من مساحة العمل هذه.
Credit Engine,محرك الائتمان
Credit Risk,مخاطر الائتمان
CRM,إدارة العملاء
Cross-module operations,عمليات متكاملة
Currency,العملة
CUSTOM,بند واجهة
Custom Documents,المستندات المخصصة
Customer,العميل
Customer Portal,العميل بوابة
Dashboard,لوحة معلومات
Date,التاريخ
Deduction,بند واجهة
Deductions,بند واجهة
Default Branch (JE posting),بند واجهة
Default cost center,بند واجهة
Default Employee Match Field,بند واجهة
Default Punch Grace (Minutes),بند واجهة
Delete,حذف
Department,بند واجهة
Department cannot report to itself.,بند واجهة
Department Head,رئيس القسم
Department Name,اسم القسم
Description,الوصف
Design & quantities (BOQ),التصميم والكميات (جدول الكميات)
Designation,بند واجهة
Desk,المكتب
Details,التفاصيل
Development Budget,ميزانية التطوير
Development Project,مشروع تطوير
Development Project Register,سجل مشاريع التطوير
Development project register,سجل مشاريع التطوير
Device IP,IP — بند واجهة
Device Name,بند واجهة
Device Port,بند واجهة
Device Type,بند واجهة
Digital Channel,رقمي قناة
Direct,بند واجهة
Docstatus,بند واجهة
Documents & Integration,المستندات والتكامل
Draft,مسودة
E-Invoice,الفاتورة الإلكترونية
Earning,بند واجهة
Earnings and Deductions,بند واجهة
Edit,تعديل
Education,التعليم
Email,البريد الإلكتروني
Employee,الموظف
Employee Appraisal,بند واجهة
Employee belongs to a different branch.,بند واجهة
Employee belongs to a different company.,بند واجهة
Employee Directory,بند واجهة
Employee Match Field,بند واجهة
Employee Name,الموظف الاسم
Employee not found.,بند واجهة
Employee Overview,الموظف نظرة عامة
employee_code,الموظف الرمز
Employees,بند واجهة
Employer contrib.,بند واجهة
Employer Contribution,بند واجهة
Employer contributions,بند واجهة
Employer Contributions Expense (IAS 19),بند واجهة
Enable Employee Self-Service,بند واجهة
Enable ISO 30414 human capital metrics in HR dashboards,ISO HR — بند واجهة
Enable ISO 30414 Metrics,ISO — بند واجهة
End Date,النهاية التاريخ
End Time,بند واجهة
End-of-Service Provision (BS),بند واجهة
Enforce Leave Balance on Approval,بند واجهة
